step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
2650,0.00005655,187.90,35.8680,12.1184,18.3380,57127,4984,609
2660,0.00005677,174.90,35.9178,12.0201,17.5078,57601,4612,507
2670,0.00005698,171.51,36.0273,13.5747,17.1646,57195,4955,569
2680,0.00005719,188.39,36.1468,13.2639,18.0916,57334,4818,568
2690,0.00005741,176.71,36.3559,12.6474,17.3522,57303,4895,522
2700,0.00005762,187.56,36.5935,12.6260,18.7248,57731,4520,469
2710,0.00005783,180.37,36.6514,12.4056,17.5806,57331,4830,559
2720,0.00005805,189.29,36.7615,12.9361,18.4640,56862,5143,715
2730,0.00005826,174.36,36.9863,11.4763,17.4323,57712,4530,478
2740,0.00005847,181.73,37.0307,12.1222,17.7653,57774,4486,460
2750,0.00005869,199.55,37.1933,12.5977,18.5820,57240,4882,598
2760,0.00005890,179.87,37.2290,12.6179,16.8681,57054,5076,590
2770,0.00005911,193.52,37.4040,13.4723,18.0123,57620,4625,475
2780,0.00005933,186.80,37.5723,11.6497,17.1579,57559,4644,517
2790,0.00005954,185.51,37.6625,11.3940,18.3105,57106,5015,600
2800,0.00005975,171.10,37.6208,14.3332,18.3639,57153,5006,561
2810,0.00005997,189.10,38.0511,14.3102,18.9028,57410,4835,475
2820,0.00006018,183.53,38.1386,11.3091,17.4466,57325,4878,517
2830,0.00006039,191.33,38.2239,11.5547,17.2987,58000,4330,389
2840,0.00006061,180.46,38.4421,10.8411,17.5787,57300,4896,525
2850,0.00006082,174.12,38.5921,12.9418,17.5524,57080,5041,599
2860,0.00006103,178.47,38.6525,14.6550,17.0292,57832,4479,410
2870,0.00006125,176.35,38.7348,12.2075,17.8430,57372,4801,547
2880,0.00006146,193.06,38.6396,11.3220,17.1678,57628,4658,434
2890,0.00006167,190.91,38.8616,11.3254,17.2729,57485,4760,476
2900,0.00006189,172.93,38.6543,11.8507,17.9119,57383,4824,513
2910,0.00006210,195.55,39.0172,13.4714,17.7419,57567,4652,502
2920,0.00006231,193.08,39.0758,12.6166,18.8168,57685,4588,447
2930,0.00006253,168.76,39.2820,12.6386,18.5677,57544,4683,493
2940,0.00006274,201.16,39.3918,11.3819,18.3921,57485,4721,514
2950,0.00006295,183.05,39.6186,11.4347,18.8898,57498,4675,546
2960,0.00006317,189.51,39.7519,11.6370,18.6135,57686,4504,530
2970,0.00006338,183.46,39.8768,11.6236,16.9926,57341,4795,584
2980,0.00006359,174.63,39.9280,11.7625,18.8611,57545,4708,467
2990,0.00006381,195.47,39.8650,11.1038,17.6248,57504,4771,446
3000,0.00006402,176.05,40.0834,11.2130,18.5688,56881,5212,628
3010,0.00006423,205.27,40.5233,11.2687,18.3828,57249,4909,562
3020,0.00006445,196.21,40.7059,12.4111,19.0815,57743,4516,462
3030,0.00006466,183.79,40.9092,12.3488,17.5646,57566,4670,484
3040,0.00006487,191.24,40.9839,11.7457,17.5816,57615,4699,406
3050,0.00006509,183.43,40.8351,11.0359,17.7217,57084,5009,627
3060,0.00006530,197.45,40.8108,14.7232,18.3139,57389,4779,552
3070,0.00006551,180.95,41.3617,11.4990,17.6448,57345,4811,563
3080,0.00006573,179.76,41.4546,10.2212,18.7553,57296,4893,530
3090,0.00006594,177.83,41.6462,10.9015,18.1725,57424,4804,492
3100,0.00006615,196.22,41.9319,12.0880,17.5168,57496,4680,544
3110,0.00006637,181.62,41.9404,10.8863,17.3340,57035,5049,636
3120,0.00006658,179.93,41.9211,11.8536,16.9015,56875,5164,682
3130,0.00006679,186.47,42.3854,10.5858,17.6337,57608,4594,518
3140,0.00006701,198.70,42.5101,11.7630,17.1107,57574,4666,480
3150,0.00006722,199.91,42.5518,11.0370,17.6085,57035,5090,596
3160,0.00006743,178.50,42.9010,10.9508,17.8146,57058,5022,640
3170,0.00006765,178.77,43.0414,13.6684,17.9382,57446,4692,582
3180,0.00006786,215.17,43.1660,16.0461,17.1557,58025,4282,413
3190,0.00006807,202.08,43.2903,10.7467,17.6531,57830,4398,492
3200,0.00006829,194.77,43.4165,10.6625,17.8918,57386,4776,558
3210,0.00006850,175.62,43.6023,11.1533,18.0798,57380,4761,579
3220,0.00006871,205.31,43.5670,11.1556,17.3252,57262,4904,554
3230,0.00006893,202.73,42.7230,11.6813,17.6458,57364,4802,555
